name,website,city
Bamigo,https://bamigo.com,
Meroda Cosmetics,https://meroda.nl,
Toolnation,https://toolnation.nl,
Holland Gold,https://hollandgold.nl,
Norah,https://norah.nl,
MetOlijf,https://metolijf.nl,
Super Ninja,https://superninja.nl,
Agrispeelgoed,https://agrispeelgoed.nl,
Barefoot en More,https://barefootandmore.nl,
Puur Mieke,https://puurmieke.nl,
Brandfield,https://brandfield.nl,
Flinders,https://flinders.nl,
Riverdale,https://riverdale.nl,
FonQ,https://fonq.nl,
Loods 5,https://loods5.nl,
Oatsome,https://oatsome.nl,
